MeasureName,Aliases,Domain,Business Capability,Capability Description,Capability Confidence,Measure Description,Evidence / Source Excerpt
Portfolio Evolution NR,Portfolio Adj NR,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,"Net revenue impact of portfolio lifecycle events (NPI, phase-out) applied as a financial adjustment to the demand forecast.",Portfolio Adj NR for portfolio lifecycle revenue impact
Portfolio Evolution NR,Portfolio Adj NR,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Net revenue impact of portfolio lifecycle events (NPI, phase-out) applied as a financial adjustment to the demand forecast.",Portfolio Adj NR for portfolio lifecycle revenue impact
Product Line expansion existing cust NR,Distribution Adj NR,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,"Net revenue impact of product distribution expansion to existing customers, quantifying the financial upside from distribution gains.",Distribution Adj NR for distribution expansion revenue impact
Product Line expansion existing cust NR,Distribution Adj NR,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Net revenue impact of product distribution expansion to existing customers, quantifying the financial upside from distribution gains.",Distribution Adj NR for distribution expansion revenue impact
Cannibalization NR,Cannibalization Adj NR,Demand Planning,NPI & Portfolio Lifecycle Management,"Plans and manages new product introductions, phase-in/phase-out transitions, cannibalization, and portfolio evolution impacts on demand.",HIGH,"Net revenue impact of cannibalization between products, quantifying the financial revenue displacement from portfolio overlap.",Cannibalization Adj NR for cannibalization revenue impact
Cannibalization NR,Cannibalization Adj NR,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Net revenue impact of cannibalization between products, quantifying the financial revenue displacement from portfolio overlap.",Cannibalization Adj NR for cannibalization revenue impact
Total Fcst vs AOP,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Measures the absolute difference between the consensus total demand forecast and the approved Annual Operating Plan, enabling identification of gaps requiring corrective action.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
Total Fcst vs AOP,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Measures the absolute difference between the consensus total demand forecast and the approved Annual Operating Plan, enabling identification of gaps requiring corrective action.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
% Total Fcst vs AOP,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Expresses the percentage variance between the consensus total forecast and the AOP, providing a relative benchmark to assess plan attainment against annual commitments.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
% Total Fcst vs AOP,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Expresses the percentage variance between the consensus total forecast and the AOP, providing a relative benchmark to assess plan attainment against annual commitments.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
Volume vs AOP,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,Tracks the absolute volume variance between the rolling demand plan and the Annual Operating Plan at product/channel level to surface over- or under-delivery risks.,AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
Volume vs AOP,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,Tracks the absolute volume variance between the rolling demand plan and the Annual Operating Plan at product/channel level to surface over- or under-delivery risks.,AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
% Volume vs AOP,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Percentage index of current volume forecast relative to the AOP, used during IBP forums to evaluate attainment of annual volume commitments.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
% Volume vs AOP,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Percentage index of current volume forecast relative to the AOP, used during IBP forums to evaluate attainment of annual volume commitments.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
Total Fcst vs LY Actuals,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,"Absolute difference between the current total consensus forecast and last year's actual shipments, supporting year-over-year trend assessment during S&OP review cycles.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Total Fcst vs LY Actuals,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Absolute difference between the current total consensus forecast and last year's actual shipments, supporting year-over-year trend assessment during S&OP review cycles.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
% Total Fcst vs LY Actuals,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,"Percentage growth or decline of the total forecast relative to last year's actuals, enabling year-on-year performance benchmarking across the IBP horizon.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
% Total Fcst vs LY Actuals,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Percentage growth or decline of the total forecast relative to last year's actuals, enabling year-on-year performance benchmarking across the IBP horizon.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
MT Total Fcst vs LY Actuals,,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,MEDIUM,"Absolute difference between the mid-term consensus forecast and last year's actuals at the MT planning level, used to validate strategic growth assumptions in the long-range plan.",Driver based forecast will be used as the starting point for demand planning
MT Total Fcst vs LY Actuals,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Absolute difference between the mid-term consensus forecast and last year's actuals at the MT planning level, used to validate strategic growth assumptions in the long-range plan.",Driver based forecast will be used as the starting point for demand planning
% MT Total Fcst vs LY Actuals,,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,MEDIUM,"Percentage variance of the mid-term total forecast versus last year's actuals, used to assess strategic volume growth expectations against historical performance.",Driver based forecast will be used as the starting point for demand planning
% MT Total Fcst vs LY Actuals,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Percentage variance of the mid-term total forecast versus last year's actuals, used to assess strategic volume growth expectations against historical performance.",Driver based forecast will be used as the starting point for demand planning
Total Fcst vs ST Fcst,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,"Absolute gap between the consolidated total forecast and the short-term driver-based forecast, highlighting the contribution of mid-term planning assumptions to the total plan.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
Total Fcst vs ST Fcst,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",MEDIUM,"Absolute gap between the consolidated total forecast and the short-term driver-based forecast, highlighting the contribution of mid-term planning assumptions to the total plan.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
% Total Fcst vs ST Fcst,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,"Percentage difference between the total consensus forecast and the short-term forecast, used to quantify the relative weight of ST enrichments within the overall demand plan.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
% Total Fcst vs ST Fcst,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",MEDIUM,"Percentage difference between the total consensus forecast and the short-term forecast, used to quantify the relative weight of ST enrichments within the overall demand plan.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
Total Fcst vs MT Fcst,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,"Absolute gap between the total consensus forecast and the mid-term forecast, revealing the uplift or reduction applied through collaborative planning above the MT base.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
Total Fcst vs MT Fcst,,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,MEDIUM,"Absolute gap between the total consensus forecast and the mid-term forecast, revealing the uplift or reduction applied through collaborative planning above the MT base.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
% Total Fcst vs MT Fcst,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,"Percentage variance between total and mid-term forecasts, quantifying the proportional impact of consensus adjustments on the MT driver-based baseline.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
% Total Fcst vs MT Fcst,,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,MEDIUM,"Percentage variance between total and mid-term forecasts, quantifying the proportional impact of consensus adjustments on the MT driver-based baseline.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
ST Driver Based Fcst vs LC,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Cycle-over-cycle absolute change in the short-term driver-based forecast, measuring the shift from the prior planning cycle to evaluate forecast stability and process discipline.",Driver based forecast will be used as the starting point for demand planning
ST Driver Based Fcst vs LC,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Cycle-over-cycle absolute change in the short-term driver-based forecast, measuring the shift from the prior planning cycle to evaluate forecast stability and process discipline.",Driver based forecast will be used as the starting point for demand planning
% ST Driver Based Fcst vs LC,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Percentage change in the short-term driver-based forecast versus the prior planning cycle, providing a relative measure of forecast churn to support S&OE exception management.",Driver based forecast will be used as the starting point for demand planning
% ST Driver Based Fcst vs LC,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Percentage change in the short-term driver-based forecast versus the prior planning cycle, providing a relative measure of forecast churn to support S&OE exception management.",Driver based forecast will be used as the starting point for demand planning
MT Driver Based Fcst vs LC,,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Cycle-over-cycle absolute change in the mid-term driver-based forecast, indicating strategic demand shifts introduced between consecutive IBP planning cycles.",Driver based forecast will be used as the starting point for demand planning
MT Driver Based Fcst vs LC,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Cycle-over-cycle absolute change in the mid-term driver-based forecast, indicating strategic demand shifts introduced between consecutive IBP planning cycles.",Driver based forecast will be used as the starting point for demand planning
% MT Driver Based Fcst vs LC,,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Percentage cycle-over-cycle change in the mid-term driver-based forecast, used to flag significant demand plan revisions for escalation during the monthly IBP forum.",Driver based forecast will be used as the starting point for demand planning
% MT Driver Based Fcst vs LC,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Percentage cycle-over-cycle change in the mid-term driver-based forecast, used to flag significant demand plan revisions for escalation during the monthly IBP forum.",Driver based forecast will be used as the starting point for demand planning
Total Fcst vs LC,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,"Absolute difference between the current total consensus forecast and the forecast from the prior planning cycle, providing a cycle-over-cycle change signal for IBP governance.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Total Fcst vs LC,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Absolute difference between the current total consensus forecast and the forecast from the prior planning cycle, providing a cycle-over-cycle change signal for IBP governance.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
% Total Fcst vs LC,,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",MEDIUM,"Percentage cycle-over-cycle change in the total consensus forecast, used during S&OP reviews to assess plan volatility and trigger exception-based discussions.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
% Total Fcst vs LC,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Percentage cycle-over-cycle change in the total consensus forecast, used during S&OP reviews to assess plan volatility and trigger exception-based discussions.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
ST Total Fcst Vol,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Absolute short-term total forecast volume in planning units, representing the consolidated demand outlook across all enrichment layers (baseline, promo, manual overrides) for the ST horizon.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
ST Total Fcst Vol,,Demand Planning,Revenue & Volume Outlook Item Tracking,"Tracks revenue and volume outlook items including initiatives, variable contributions, and governance dates for pipeline management.",MEDIUM,"Absolute short-term total forecast volume in planning units, representing the consolidated demand outlook across all enrichment layers (baseline, promo, manual overrides) for the ST horizon.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
ST Total Fcst Vol LC,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-term total forecast volume from the prior planning cycle (last cycle snapshot), used as a reference baseline for cycle-over-cycle change tracking in the ST horizon.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
ST Total Fcst Vol LC,,Demand Planning,Revenue & Volume Outlook Item Tracking,"Tracks revenue and volume outlook items including initiatives, variable contributions, and governance dates for pipeline management.",MEDIUM,"Short-term total forecast volume from the prior planning cycle (last cycle snapshot), used as a reference baseline for cycle-over-cycle change tracking in the ST horizon.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
ST Total Fcst Invoices Vol,,Demand Planning,Driver-Based Forecast Generation (Short Term),"Builds short-horizon demand forecasts by decomposing demand into quantifiable drivers such as promotions, media, pricing, and weather.",HIGH,"Short-term total forecast volume expressed in invoiced units (ZOR/ZYCO), providing a sell-in view of the ST demand plan aligned to financial and commercial reporting needs.","Continuous line with invoices used for Forum, splitting promo vs non-promo"
ST Total Fcst Invoices Vol,,Demand Planning,Revenue & Volume Outlook Item Tracking,"Tracks revenue and volume outlook items including initiatives, variable contributions, and governance dates for pipeline management.",MEDIUM,"Short-term total forecast volume expressed in invoiced units (ZOR/ZYCO), providing a sell-in view of the ST demand plan aligned to financial and commercial reporting needs.","Continuous line with invoices used for Forum, splitting promo vs non-promo"
MT Total Fcst Vol LC,,Demand Planning,Driver-Based Forecast Generation (Mid/Long Term),Constructs medium-to-long-horizon strategic forecasts decomposed into business drivers to inform capacity and supply strategy.,HIGH,"Mid-term total forecast volume from the prior planning cycle, serving as the reference baseline to compute cycle-over-cycle changes in the MT strategic demand plan.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
MT Total Fcst Vol LC,,Demand Planning,Revenue & Volume Outlook Item Tracking,"Tracks revenue and volume outlook items including initiatives, variable contributions, and governance dates for pipeline management.",MEDIUM,"Mid-term total forecast volume from the prior planning cycle, serving as the reference baseline to compute cycle-over-cycle changes in the MT strategic demand plan.",TOTAL FCST shown in planning tables across ST and MT forecast enrichment scenarios
Vol B/(W) AOP/ESP,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Volume Better/(Worse) versus the Annual Operating Plan or Estimated Selling Plan, showing absolute volume gap against the approved annual commitment to flag attainment risk.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
Vol B/(W) AOP/ESP,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Volume Better/(Worse) versus the Annual Operating Plan or Estimated Selling Plan, showing absolute volume gap against the approved annual commitment to flag attainment risk.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
Vol B/(W) LY,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Volume Better/(Worse) versus last year's actuals, measuring absolute year-on-year volume evolution to track business growth or decline at product and market level.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol B/(W) LY,,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Volume Better/(Worse) versus last year's actuals, measuring absolute year-on-year volume evolution to track business growth or decline at product and market level.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol B/(W) PxF,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Volume Better/(Worse) versus the Prior Forecast, quantifying the absolute shift in volume expectation versus the previously committed forecast to highlight demand plan revisions.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol B/(W) PxF,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",MEDIUM,"Volume Better/(Worse) versus the Prior Forecast, quantifying the absolute shift in volume expectation versus the previously committed forecast to highlight demand plan revisions.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol B/(W) LC,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Volume Better/(Worse) versus the Last Cycle forecast, tracking absolute cycle-over-cycle volume movement to assess forecast volatility and planning cycle discipline.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol B/(W) LC,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",MEDIUM,"Volume Better/(Worse) versus the Last Cycle forecast, tracking absolute cycle-over-cycle volume movement to assess forecast volatility and planning cycle discipline.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol B/(W) PxF (%),,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Percentage volume variance versus the Prior Forecast, providing a relative measure of demand plan change to facilitate threshold-based exception flagging in IBP forums.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol B/(W) PxF (%),,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",MEDIUM,"Percentage volume variance versus the Prior Forecast, providing a relative measure of demand plan change to facilitate threshold-based exception flagging in IBP forums.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol B/(W) AOP/ESP (%),,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Percentage volume gap versus the AOP or ESP, expressing attainment as a relative index to enable cross-geography and cross-category benchmarking in S&OP reviews.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
Vol B/(W) AOP/ESP (%),,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Percentage volume gap versus the AOP or ESP, expressing attainment as a relative index to enable cross-geography and cross-category benchmarking in S&OP reviews.",AOP happens around September Y1–October Y1. AOP fully updated for October S&OP cycle
Vol B/(W) LC (%),,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Percentage volume better/(worse) versus last cycle, measuring the relative cycle-over-cycle forecast shift as a key governance metric in monthly IBP planning cadence.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
Vol B/(W) LC (%),,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Percentage volume better/(worse) versus last cycle, measuring the relative cycle-over-cycle forecast shift as a key governance metric in monthly IBP planning cadence.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
CY B/(W) PxF Abs,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Current year absolute volume or value better/(worse) versus the Prior Forecast, consolidating full-year plan vs. prior-forecast deviations to support year-end outlook management.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
CY B/(W) PxF Abs,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Current year absolute volume or value better/(worse) versus the Prior Forecast, consolidating full-year plan vs. prior-forecast deviations to support year-end outlook management.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
NR B/(W) LY,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Net Revenue Better/(Worse) versus last year's actuals, tracking absolute revenue evolution year-on-year to evaluate commercial plan performance against prior-year baseline.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR B/(W) LY,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Net Revenue Better/(Worse) versus last year's actuals, tracking absolute revenue evolution year-on-year to evaluate commercial plan performance against prior-year baseline.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR B/(W) AOP/ESP,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Net Revenue Better/(Worse) versus the Annual Operating Plan or Estimated Selling Plan, measuring absolute revenue attainment gap against the approved financial commitment.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR B/(W) AOP/ESP,,Demand Planning,Annual Operating Plan (AOP) Management,"Establishes and monitors annual volume and revenue targets, comparing rolling forecasts against the approved annual plan.",MEDIUM,"Net Revenue Better/(Worse) versus the Annual Operating Plan or Estimated Selling Plan, measuring absolute revenue attainment gap against the approved financial commitment.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR B/(W) PxF,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Net Revenue Better/(Worse) versus the Prior Forecast, quantifying the absolute shift in revenue expectation to support financial re-forecasting and P&L risk management.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR B/(W) PxF,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",MEDIUM,"Net Revenue Better/(Worse) versus the Prior Forecast, quantifying the absolute shift in revenue expectation to support financial re-forecasting and P&L risk management.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR B/(W) PxF Abs,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Absolute value of net revenue better/(worse) versus the Prior Forecast, used to size the magnitude of revenue plan revisions regardless of direction for financial governance.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR B/(W) PxF Abs,,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Absolute value of net revenue better/(worse) versus the Prior Forecast, used to size the magnitude of revenue plan revisions regardless of direction for financial governance.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR B/(W) LC (%),,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Percentage net revenue better/(worse) versus the Last Cycle, measuring the relative revenue forecast change cycle-over-cycle as a financial stability indicator in IBP reviews.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
NR B/(W) LC (%),,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Percentage net revenue better/(worse) versus the Last Cycle, measuring the relative revenue forecast change cycle-over-cycle as a financial stability indicator in IBP reviews.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
MC B/(W) PxF,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Margin Contribution Better/(Worse) versus the Prior Forecast, tracking absolute changes in gross margin expectations due to volume mix, pricing, or cost shifts between forecast cycles.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
MC B/(W) PxF,,Demand Planning,Risk & Opportunity Management,"Identifies, quantifies, and tracks upside opportunities and downside risks to the demand forecast across portfolio, promotions, and market factors.",MEDIUM,"Margin Contribution Better/(Worse) versus the Prior Forecast, tracking absolute changes in gross margin expectations due to volume mix, pricing, or cost shifts between forecast cycles.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
MC B/(W) PxF (%),,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Percentage margin contribution better/(worse) versus the Prior Forecast, providing a relative margin performance signal for commercial and finance alignment during S&OP cycles.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
MC B/(W) PxF (%),,Demand Planning,S&OP / IBP Integration,"Integrates demand forecasts with Sales & Operations Planning targets to align commercial, financial, and supply perspectives.",MEDIUM,"Percentage margin contribution better/(worse) versus the Prior Forecast, providing a relative margin performance signal for commercial and finance alignment during S&OP cycles.",NR & MC - Rates will be integrated at those levels (line 603 FS01)
Vol Growth (%),,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Percentage volume growth of the current forecast versus the prior year, including the effect of portfolio changes (launches, delistings) to measure total business momentum.",Demand Planning leverages iS&OP and iS&OE processes to align on consensus plan
